"year","division","region","state","state.code","est_pop","sum_total_homeless","sum_unemploy_rate","mean.homeless","mean.unemploy","homeless_proportion","unemploy_proportion"
2010,"East South Central","South","Kentucky","KY",4348662,6623,1592.7,5919.3,939.44,0.00152299718856053,0.000366250584662593
2010,"West South Central","South","Louisiana","LA",4544996,12482,615,7093.1,328.47,0.00274631704846385,0.000135313650441056
2010,"New England","Northeast","Maine","ME",1327730,2379,160.4,2528.8,128.84,0.00179177995526199,0.000120807694335445
2010,"South Atlantic","South","Maryland","MD",5788584,10845,229,9319.2,175.84,0.00187351518091471,3.95606248436578e-05
2010,"New England","Northeast","Massachusetts","MA",6565524,16646,154.4,17693.5,113.1,0.00253536503712423,2.35167825142365e-05
2010,"East North Central","Midwest","Michigan","MI",9877495,13058,1327.6,15296.9,658.28,0.00132199510098461,0.000134406547409034
2010,"West North Central","Midwest","Minnesota","MN",5311147,7869,826.4,7727.1,651.42,0.00148160086700669,0.000155597274938916
2010,"East South Central","South","Mississippi","MS",2970322,2743,1114.8,2194.7,851.98,0.000923468903371419,0.000375312844870017
2010,"West North Central","Midwest","Missouri","MO",5996118,8337,1308,7911,917.75,0.00139039958853378,0.000218141137315843
2010,"Mountain","West","Montana","MT",990641,1615,439.5,1572.9,354.64,0.00163025758069775,0.000443652140381834
2010,"West North Central","Midwest","Nebraska","NE",1830051,3877,488.8,3411.7,381.19,0.00211852019424595,0.000267096381466965
2010,"Mountain","West","Nevada","NV",2703284,11205,218.9,8907.1,156.47,0.00414495850232532,8.09755837714424e-05
2010,"New England","Northeast","New Hampshire","NH",1316872,1574,69.4,1608.5,52.18,0.00119525663845841,5.27006421277087e-05
2010,"Middle Atlantic","Northeast","New Jersey","NJ",8803729,13737,232.5,12788,175.24,0.0015603615240769,2.64092636199956e-05
2010,"Mountain","West","New Mexico","NM",2064756,3475,299,3028.3,241.53,0.00168300758055673,0.000144811299737112
2010,"Middle Atlantic","Northeast","New York","NY",19402640,65606,618.3,71603.2,497.59,0.0033812924426779,3.1866797507968e-05
