"Year","state","state.code","Sum_Total_Homeless","Sum_Unemploy_Rate","avg_homeless_07to16","avg_unemploy_07to16","Estimate Date","Estimate"
2011,"Nevada","NV",9150,218.4,8907.1,156.47,"EST_JUL_2011",2718379
2011,"New Hampshire","NH",1469,61,1608.5,52.18,"EST_JUL_2011",1318473
2011,"New Jersey","NJ",14137,226.4,12788,175.24,"EST_JUL_2011",8841243
2011,"New Mexico","NM",3601,290.4,3028.3,241.53,"EST_JUL_2011",2077756
2011,"New York","NY",63445,598.5,71603.2,497.59,"EST_JUL_2011",19519529
2011,"North Carolina","NC",12896,1243.4,11964.5,935.65,"EST_JUL_2011",9650963
2011,"North Dakota","ND",603,257.9,966.9,249.92,"EST_JUL_2011",685476
2011,"Ohio","OH",13030,1014.8,12218.6,807.37,"EST_JUL_2011",11544824
2011,"Oklahoma","OK",4625,535.9,4427.4,436.06,"EST_JUL_2011",3786274
2011,"Oregon","OR",17254,450.1,16057.6,360.16,"EST_JUL_2011",3868031
2011,"Pennsylvania","PA",15096,617.7,15222.1,523.41,"EST_JUL_2011",12744293
2011,"Rhode Island","RI",1070,56.9,1264.9,44.97,"EST_JUL_2011",1052451
2011,"South Carolina","SC",5093,621.7,5228,469.11,"EST_JUL_2011",4672637
2011,"South Dakota","SD",826,418.9,839.2,333.56,"EST_JUL_2011",824398
2011,"Tennessee","TN",9113,1146.4,9710.7,893,"EST_JUL_2011",6397634
2011,"Texas","TX",36911,2043.9,32773.3,1161.96,"EST_JUL_2011",25646389
2011,"Utah","UT",3130,282.2,3237.1,204.88,"EST_JUL_2011",2816124
2011,"Vermont","VT",1144,103.5,1238,86.63,"EST_JUL_2011",626730
2011,"Virginia","VA",8816,1138.7,8130.1,745.68,"EST_JUL_2011",8110035
2011,"Washington","WA",20439,480.1,20838.4,384.88,"EST_JUL_2011",6822520
2011,"West Virginia","WV",2211,595.9,2045.2,470.39,"EST_JUL_2011",1854972
2011,"Wisconsin","WI",5785,714.5,5966.8,580.5,"EST_JUL_2011",5709640
2011,"Wyoming","WY",1038,161.4,859.8,127.62,"EST_JUL_2011",567725
2012,"Alabama","AL",5209,643.4,5106.3,624,"EST_JUL_2012",4815960
2012,"Arizona","AZ",11302,176.1,11803.2,149.56,"EST_JUL_2012",6549634
2012,"Arkansas","AR",4214,727,3211.4,633.61,"EST_JUL_2012",2950685
2012,"California","CA",120098,0,123428.5,498.51,"EST_JUL_2012",38011074
2012,"Colorado","CO",16768,550.3,13189.1,415.96,"EST_JUL_2012",5189867
2012,"Connecticut","CT",4209,68.1,4354.2,58.62,"EST_JUL_2012",3593795
2012,"Delaware","DE",1008,24.1,1001.9,20.7,"EST_JUL_2012",916993
2012,"Hawaii","HI",6246,31.2,6497.5,22.91,"EST_JUL_2012",1391820
2012,"Idaho","ID",1968,440.2,1976.3,352.13,"EST_JUL_2012",1595911
2012,"Illinois","IL",14144,965.3,13811.3,890.01,"EST_JUL_2012",12870798
2012,"Indiana","IN",6259,872.1,6437.2,755.65,"EST_JUL_2012",6537743
2012,"Iowa","IA",2928,615,3088.7,585.65,"EST_JUL_2012",3076310
2012,"Kansas","KS",2458,591.7,2094.9,532.9,"EST_JUL_2012",2885262
2012,"Kentucky","KY",5230,1240.2,5919.3,939.44,"EST_JUL_2012",4384799
2012,"Louisiana","LA",7772,0,7093.1,328.47,"EST_JUL_2012",4603429
2012,"Maine","ME",2393,154.3,2528.8,128.84,"EST_JUL_2012",1328895
2012,"Maryland","MD",9454,209.5,9319.2,175.84,"EST_JUL_2012",5889651
2012,"Massachusetts","MA",17501,124.1,17693.5,113.1,"EST_JUL_2012",6658008
